date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.975;F_est;F_0.025;F_0.975
2021-10-10;alle;58;58,0;58;58;540;540,0;540;540;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-09;0-60;29;29,0;29;29;237;237,0;237;237;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-09;60+;32;32,0;32;32;309;309,0;309;309;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-09;alle;61;61,0;61;61;546;546,0;546;546;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-08;0-60;40;40,0;40;40;241;241,0;241;241;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-08;60+;52;52,0;52;52;319;319,0;319;319;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-08;alle;92;92,0;92;92;560;560,0;560;560;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-07;0-60;32;32,0;32;32;239;239,0;239;239;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-07;60+;40;40,0;40;40;305;305,0;305;305;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-07;alle;72;72,0;72;72;544;544,0;544;544;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-06;0-60;34;34,0;34;34;234;234,0;234;234;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-06;60+;42;42,0;42;42;306;306,0;306;306;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-06;alle;76;76,0;76;76;540;540,0;540;540;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-05;0-60;35;35,0;35;35;244;244,0;244;244;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-05;60+;52;52,0;52;52;300;300,0;300;300;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-05;alle;87;87,0;87;87;544;544,0;544;544;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-04;0-60;36;36,0;36;36;239;239,0;239;239;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-04;60+;58;58,0;58;58;287;287,0;287;287;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-04;alle;94;94,0;94;94;526;526,0;526;526;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-03;0-60;31;31,0;31;31;257;257,0;257;257;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-03;60+;33;33,0;33;33;296;296,0;296;296;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-03;alle;64;64,0;64;64;553;553,0;553;553;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-02;0-60;33;33,0;33;33;256;256,0;256;256;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-02;60+;42;42,0;42;42;290;290,0;290;290;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-02;alle;75;75,0;75;75;546;546,0;546;546;1,0000000000000000;1,000000000000000;1,0000000000000000
2021-10-01;0-60;38;38,0;38;38;258;258,0;258;258;1,0000000000000000;1,000000000000000;1,0000000000000000
